status,ticker,company_name,source_path,target_path,mapping_source_level,chain_code,chain_name,position,subcategory,choice_count,note
moved,6163,華電網,Pilot_Reports/6163_華電網.md,Pilot_Reports/6163_華電網.md,raw_member,AD10,智慧電網,上游,能源管理服務,22,
moved,6170,統振,Pilot_Reports/6170_統振.md,Pilot_Reports/6170_統振.md,raw_member,I000,通信網路,下游,電信服務業,1,
moved,6561,是方,Pilot_Reports/6561_是方.md,Pilot_Reports/6561_是方.md,map,5500,資通訊安全,上游,網路安全防護,13,
moved,1307,三芳,Pilot_Reports/1307_三芳.md,Pilot_Reports/1307_三芳.md,raw_member,N000,石化及塑橡膠,下游,塑膠製品,1,
moved,1325,恆大,Pilot_Reports/1325_恆大.md,Pilot_Reports/1325_恆大.md,raw_member,N000,石化及塑橡膠,下游,塑膠製品,1,
moved,1342,八貫,Pilot_Reports/1342_八貫.md,Pilot_Reports/1342_八貫.md,raw_member,X000,其他,上游,其他,1,
moved,1402,遠東新,Pilot_Reports/1402_遠東新.md,Pilot_Reports/1402_遠東新.md,raw_member,N000,石化及塑橡膠,中游,石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等),8,
moved,1409,新纖,Pilot_Reports/1409_新纖.md,Pilot_Reports/1409_新纖.md,raw_member,N000,石化及塑橡膠,下游,人造纖維,2,
moved,1410,南染,Pilot_Reports/1410_南染.md,Pilot_Reports/1410_南染.md,raw_member,D000,半導體,下游,IC封裝測試,3,
moved,1413,宏洲,Pilot_Reports/1413_宏洲.md,Pilot_Reports/1413_宏洲.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,2,
moved,1414,東和,Pilot_Reports/1414_東和.md,Pilot_Reports/1414_東和.md,raw_member,O000,紡織,中游,紡紗,1,
moved,1418,東華,Pilot_Reports/1418_東華.md,Pilot_Reports/1418_東華.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1,
moved,1419,新紡,Pilot_Reports/1419_新紡.md,Pilot_Reports/1419_新紡.md,raw_member,O000,紡織,中游,織布,4,
moved,1423,利華,Pilot_Reports/1423_利華.md,Pilot_Reports/1423_利華.md,raw_member,O000,紡織,中游,天然纖維產品(例如純棉、純羊毛等),1,
moved,1434,福懋,Pilot_Reports/1434_福懋.md,Pilot_Reports/1434_福懋.md,raw_member,D000,半導體,下游,IC封裝測試,7,
moved,1439,雋揚,Pilot_Reports/1439_雋揚.md,Pilot_Reports/1439_雋揚.md,raw_member,S000,建材營造,中游,建設業,1,
moved,1440,南紡,Pilot_Reports/1440_南紡.md,Pilot_Reports/1440_南紡.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,2,
moved,1441,大東,Pilot_Reports/1441_大東.md,Pilot_Reports/1441_大東.md,raw_member,O000,紡織,中游,紡紗,1,
moved,1444,力麗,Pilot_Reports/1444_力麗.md,Pilot_Reports/1444_力麗.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1,
moved,1445,大宇,Pilot_Reports/1445_大宇.md,Pilot_Reports/1445_大宇.md,raw_member,O000,紡織,中游,紡紗,2,
moved,1446,宏和,Pilot_Reports/1446_宏和.md,Pilot_Reports/1446_宏和.md,raw_member,O000,紡織,中游,織布,2,
moved,1447,力鵬,Pilot_Reports/1447_力鵬.md,Pilot_Reports/1447_力鵬.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,4,
moved,1449,佳和,Pilot_Reports/1449_佳和.md,Pilot_Reports/1449_佳和.md,raw_member,O000,紡織,中游,紡紗,3,
moved,1451,年興,Pilot_Reports/1451_年興.md,Pilot_Reports/1451_年興.md,raw_member,O000,紡織,中游,紡紗,4,
moved,1452,宏益,Pilot_Reports/1452_宏益.md,Pilot_Reports/1452_宏益.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1,
moved,1453,大將,Pilot_Reports/1453_大將.md,Pilot_Reports/1453_大將.md,raw_member,O000,紡織,中游,紡紗,2,
