ticker,company_name,theme_id,theme_tag,role,source_path,matched_text,confidence,status
6207,雷科,theme.cowos,CoWoS,related,business.summary,CoWoS,high,needs_review
6207,雷科,theme.cowos,CoWoS,downstream,relationships.customers[0],CoWoS,high,needs_review
6207,雷科,theme.nvidia_supply_chain,NVIDIA 供應鏈,downstream,relationships.customers[0],NVIDIA,medium,needs_review
6210,慶生,theme.5g,5G,related,business.summary,5G,high,needs_review
6210,慶生,theme.ev,電動車,related,business.summary,電動車,high,needs_review
6213,聯茂,theme.5g,5G,related,business.summary,5G,high,needs_review
6213,聯茂,theme.nvidia_supply_chain,NVIDIA 供應鏈,downstream,relationships.customers[0],NVIDIA,medium,needs_review
6216,居易,theme.5g,5G,related,business.summary,5G,high,needs_review
6217,中探針,theme.ev,電動車,related,business.summary,電動車,high,needs_review
6217,中探針,theme.ev,電動車,downstream,supply_chain.downstream[0],電動車,high,needs_review
6217,中探針,theme.apple_supply_chain,Apple 供應鏈,downstream,relationships.customers[0],Apple,medium,needs_review
6218,豪勉,theme.5g,5G,related,business.summary,5G,high,needs_review
